ano_referencia;mes_referencia;Municipio;Saldo
2020;1;Tatuí;-1
2020;2;Botucatu;1
2020;6;Botucatu;-1
2020;6;Tatuí;0
2020;8;Botucatu;0
2021;2;Sertãozinho;0
2021;3;Tatuí;-1
2021;5;Salto;-1
2021;11;Sertãozinho;-1
2021;11;Tatuí;1
2022;1;Botucatu;2
2022;1;Salto;-1
2022;2;Salto;1
2022;2;Tatuí;-1
2022;3;Botucatu;-1
2022;4;Sertãozinho;1
2022;5;Botucatu;0
2022;7;Botucatu;-2
2022;8;Salto;-1
2022;8;Tatuí;-1
2022;9;Botucatu;-2
2022;9;Jaú;-1
2022;9;Salto;-1
2022;10;Jaú;1
2022;12;Jaú;-1
2022;12;Tatuí;-1
2023;1;Botucatu;2
2023;1;Sertãozinho;-1
2023;2;Botucatu;-1
2023;2;Jaú;1
2023;2;Salto;1
2023;2;Sertãozinho;0
2023;2;Tatuí;-1
2023;3;Botucatu;1
2023;3;Jaú;-1
2023;3;Sertãozinho;-2
2023;3;Tatuí;-3
2023;4;Jaú;1
2023;4;Salto;1
2023;4;Sertãozinho;0
2023;4;Tatuí;-1
2023;5;Botucatu;1
2023;5;Jaú;0
2023;5;Salto;3
2023;5;Sertãozinho;1
2023;5;Tatuí;-3
2023;6;Botucatu;2
2023;6;Jaú;-2
2023;6;Salto;2
2023;6;Sertãozinho;-1
2023;6;Tatuí;1
2023;7;Botucatu;1
2023;7;Jaú;0
2023;7;Salto;-1
2023;7;Sertãozinho;-16
2023;7;Tatuí;2
2023;8;Botucatu;3
2023;8;Jaú;-2
2023;8;Salto;-1
2023;8;Sertãozinho;4
2023;8;Tatuí;1
2023;9;Botucatu;0
2023;9;Jaú;-1
2023;9;Salto;-3
2023;9;Sertãozinho;-2
2023;9;Tatuí;2
2023;10;Botucatu;1
2023;10;Jaú;-2
2023;10;Salto;-3
2023;10;Sertãozinho;0
2023;10;Tatuí;-2
2023;11;Botucatu;0
2023;11;Jaú;-3
2023;11;Salto;-14
2023;11;Sertãozinho;-1
2023;11;Tatuí;0
2023;12;Botucatu;-11
2023;12;Jaú;6
2023;12;Salto;2
2023;12;Sertãozinho;-11
2023;12;Tatuí;-3
2024;1;Botucatu;607
2024;1;Jaú;228
2024;1;Salto;127
2024;1;Sertãozinho;1663
2024;1;Tatuí;325
2024;2;Botucatu;641
2024;2;Jaú;348
2024;2;Salto;485
2024;2;Sertãozinho;720
2024;2;Tatuí;373
2024;3;Botucatu;541
2024;3;Jaú;148
2024;3;Salto;128
2024;3;Sertãozinho;-305
2024;3;Tatuí;179
2024;4;Botucatu;559
2024;4;Jaú;227
2024;4;Salto;286
2024;4;Sertãozinho;-133
2024;4;Tatuí;252
2024;5;Botucatu;580
2024;5;Jaú;40
2024;5;Salto;153
2024;5;Sertãozinho;246
2024;5;Tatuí;28
2024;6;Botucatu;402
2024;6;Jaú;55
2024;6;Salto;176
2024;6;Sertãozinho;260
2024;6;Tatuí;217
2024;7;Botucatu;173
2024;7;Jaú;160
2024;7;Salto;255
2024;7;Sertãozinho;226
2024;7;Tatuí;158
2024;8;Botucatu;398
2024;8;Jaú;159
2024;8;Salto;188
2024;8;Sertãozinho;217
2024;8;Tatuí;256
2024;9;Botucatu;293
2024;9;Jaú;273
2024;9;Salto;250
2024;9;Sertãozinho;90
2024;9;Tatuí;262
2024;10;Botucatu;308
2024;10;Jaú;211
2024;10;Salto;-1
2024;10;Sertãozinho;-230
2024;10;Tatuí;106
2024;11;Botucatu;261
2024;11;Jaú;-75
2024;11;Salto;-16
2024;11;Sertãozinho;929
2024;11;Tatuí;205
2024;12;Botucatu;-372
2024;12;Jaú;-666
2024;12;Salto;-408
2024;12;Sertãozinho;-1225
2024;12;Tatuí;-413
2025;1;Botucatu;335
2025;1;Jaú;413
2025;1;Salto;64
2025;1;Sertãozinho;1428
2025;1;Tatuí;533
2025;2;Botucatu;341
2025;2;Jaú;444
2025;2;Salto;433
2025;2;Sertãozinho;571
2025;2;Tatuí;467
2025;3;Botucatu;34
2025;3;Jaú;13
2025;3;Salto;82
2025;3;Sertãozinho;-437
2025;3;Tatuí;34
2025;4;Botucatu;378
2025;4;Jaú;389
2025;4;Salto;57
2025;4;Sertãozinho;-580
2025;4;Tatuí;142
2025;5;Botucatu;198
2025;5;Jaú;-102
2025;5;Salto;195
2025;5;Sertãozinho;-186
2025;5;Tatuí;-8
2025;6;Botucatu;252
2025;6;Jaú;95
2025;6;Salto;155
2025;6;Sertãozinho;-129
2025;6;Tatuí;110
2025;7;Botucatu;77
2025;7;Jaú;88
2025;7;Salto;13
2025;7;Sertãozinho;-1166
2025;7;Tatuí;384
2025;8;Botucatu;170
2025;8;Jaú;153
2025;8;Salto;263
2025;8;Sertãozinho;-321
2025;8;Tatuí;971
2025;9;Botucatu;205
2025;9;Jaú;51
2025;9;Salto;48
2025;9;Sertãozinho;336
2025;9;Tatuí;821
2025;10;Botucatu;79
2025;10;Jaú;102
2025;10;Salto;19
2025;10;Sertãozinho;-314
2025;10;Tatuí;-54
2025;11;Botucatu;76
2025;11;Jaú;-99
2025;11;Salto;5
2025;11;Sertãozinho;-114
2025;11;Tatuí;6
2025;12;Botucatu;-497
2025;12;Jaú;-791
2025;12;Salto;-414
2025;12;Sertãozinho;-404
2025;12;Tatuí;-519
2026;1;Botucatu;148
2026;1;Jaú;289
2026;1;Salto;-18
2026;1;Sertãozinho;817
2026;1;Tatuí;300
2026;2;Botucatu;356
2026;2;Jaú;387
2026;2;Salto;165
2026;2;Sertãozinho;231
2026;2;Tatuí;798
2026;3;Botucatu;185
2026;3;Jaú;57
2026;3;Salto;405
2026;3;Sertãozinho;-343
2026;3;Tatuí;472
