divisao_cnae;divisao_descricao;quantidade;tipo_empresa;percentual_no_tipo
47;COMÉRCIO VAREJISTA;2527;Demais portes;21.81
94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;1978;Demais portes;17.07
01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;1848;Demais portes;15.95
;Divisão não mapeada;1450;Demais portes;12.51
56;ALIMENTAÇÃO;884;Demais portes;7.63
45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;248;Demais portes;2.14
46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;228;Demais portes;1.97
64;ATIVIDADES DE SERVIÇOS FINANCEIROS;175;Demais portes;1.51
68;ATIVIDADES IMOBILIÁRIAS;170;Demais portes;1.47
86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;161;Demais portes;1.39
69;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA;158;Demais portes;1.36
41;CONSTRUÇÃO DE EDIFÍCIOS;146;Demais portes;1.26
81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS;134;Demais portes;1.16
93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER;115;Demais portes;0.99
49;TRANSPORTE TERRESTRE;112;Demais portes;0.97
82;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS;97;Demais portes;0.84
85;EDUCAÇÃO;87;Demais portes;0.75
02;PRODUÇÃO FLORESTAL;82;Demais portes;0.71
74;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;73;Demais portes;0.63
14;CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS;55;Demais portes;0.47
25;FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS  E EQUIPAMENTOS;45;Demais portes;0.39
71;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS";45;Demais portes;0.39
70;ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL;43;Demais portes;0.37
66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;42;Demais portes;0.36
23;FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS;35;Demais portes;0.3
10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;34;Demais portes;0.29
78;SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA;29;Demais portes;0.25
84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;26;Demais portes;0.22
03;PESCA E AQÜICULTURA;24;Demais portes;0.21
43;SERVIÇOS ESPECIALIZADOS PARA CONSTRUÇÃO;24;Demais portes;0.21
88;SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO;24;Demais portes;0.21
62;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO;23;Demais portes;0.2
87;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES;23;Demais portes;0.2
77;ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;22;Demais portes;0.19
60;ATIVIDADES DE RÁDIO E DE TELEVISÃO;21;Demais portes;0.18
65;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;20;Demais portes;0.17
95;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS;20;Demais portes;0.17
96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;20;Demais portes;0.17
52;ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES;16;Demais portes;0.14
79;AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS;16;Demais portes;0.14
31;FABRICAÇÃO DE MÓVEIS;16;Demais portes;0.14
59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA";16;Demais portes;0.14
42;OBRAS DE INFRA-ESTRUTURA;15;Demais portes;0.13
72;PESQUISA E DESENVOLVIMENTO CIENTÍFICO;15;Demais portes;0.13
29;FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS;14;Demais portes;0.12
90;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS;14;Demais portes;0.12
55;ALOJAMENTO;14;Demais portes;0.12
20;FABRICAÇÃO DE PRODUTOS QUÍMICOS;13;Demais portes;0.11
58;EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO;13;Demais portes;0.11
15;PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS;13;Demais portes;0.11
16;FABRICAÇÃO DE PRODUTOS DE MADEIRA;13;Demais portes;0.11
22;FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO;12;Demais portes;0.1
73;PUBLICIDADE E PESQUISA DE MERCADO;12;Demais portes;0.1
61;TELECOMUNICAÇÕES;12;Demais portes;0.1
30;FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES;12;Demais portes;0.1
38;"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS";11;Demais portes;0.09
28;FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS;11;Demais portes;0.09
32;FABRICAÇÃO DE PRODUTOS DIVERSOS;11;Demais portes;0.09
63;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO;9;Demais portes;0.08
08;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS;7;Demais portes;0.06
13;FABRICAÇÃO DE PRODUTOS TÊXTEIS;6;Demais portes;0.05
92;ATIVIDADES DE EXPLORAÇÃO DE JOGOS DE AZAR E APOSTAS;6;Demais portes;0.05
35;ELETRICIDADE, GÁS E OUTRAS UTILIDADES;6;Demais portes;0.05
24;METALURGIA;5;Demais portes;0.04
80;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO;5;Demais portes;0.04
11;FABRICAÇÃO DE BEBIDAS;4;Demais portes;0.03
53;CORREIO E OUTRAS ATIVIDADES DE ENTREGA;3;Demais portes;0.03
75;ATIVIDADES VETERINÁRIAS;3;Demais portes;0.03
27;FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS;3;Demais portes;0.03
91;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL;3;Demais portes;0.03
21;FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS;2;Demais portes;0.02
33;MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS;2;Demais portes;0.02
18;IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES;2;Demais portes;0.02
