municipio_ibge;municipio_nome;cnpj_basico;razao_social;cnpj;identificador_matriz_filial;situacao_cadastral;situacao_cadastral_descricao;data_inicio_atividade;cnae_fiscal_principal;cnae_subclasse;cnaes_secundarios;divisao_cnae;divisao_descricao;uf;municipio_codigo_rfb_estabelecimento;qtd_estabelecimentos_municipio;porte_empresa;porte_cadastral_descricao;opcao_mei;data_opcao_mei;data_exclusao_mei;mei_simples_vigente;mei_ativo;mei_inativo_cnpj;tipo_empresa;macro_setor
3507506;Botucatu;00000000;BANCO DO BRASIL SA;00000000007951;2;02;Ativa;1966-08-01;6422100;6422100;6499999;64;ATIVIDADES DE SERVIÇOS FINANCEIROS;SP;6249;8;05;Demais portes;N;;;0;0;0;Demais portes;Serviços
3507506;Botucatu;00001466;CLAUDINEIA LOPES DOS SANTOS VITORINO;00001466000101;1;08;Baixada;1994-05-12;5611203;5611203;;56;ALIMENTAÇÃO;SP;6249;1;05;Demais portes;N;;;0;0;0;Demais portes;Serviços
3507506;Botucatu;00001725;ELVIS PIMENTEL BOTUCATU;00001725000102;1;08;Baixada;1994-05-09;4712100;4712100;;47;COMÉRCIO VAREJISTA;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00001729;ALEXANDRE CESAR PALOMBARINI;00001729000182;1;08;Baixada;1994-05-09;4789007;4789007;;47;COMÉRCIO VAREJISTA;SP;6249;1;05;Demais portes;N;;;0;0;0;Demais portes;Comércio
3507506;Botucatu;00002383;MARCO ANTONIO PANDOLPHI SILVA;00002383000137;1;04;Inapta;1994-05-12;0322101;0322101;0321301;03;PESCA E AQÜICULTURA;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Agropecuária
3507506;Botucatu;00002411;ANTONIO RIBEIRO SOBRINHO BOTUCATU;00002411000116;1;02;Ativa;1994-05-12;4520005;4520005;4789005;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00002564;ELAINE EMILIA DOS SANTOS BARTOLI;00002564000163;1;08;Baixada;1994-05-10;4713004;4713004;;47;COMÉRCIO VAREJISTA;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00002803;COMERCIAL J A VIEIRA LTDA;00002803000185;1;02;Ativa;1994-05-12;4744005;4744005;;47;COMÉRCIO VAREJISTA;SP;6249;1;03;EPP;N;;;0;0;0;EPP;Comércio
3507506;Botucatu;00003678;ALBARI BERNARDI;00003678000128;1;08;Baixada;1994-05-16;5611203;5611203;;56;ALIMENTAÇÃO;SP;6249;1;05;Demais portes;N;;;0;0;0;Demais portes;Serviços
3507506;Botucatu;00004237;BALDINI & SANTOS BALDINI LTDA;00004237000140;1;08;Baixada;1994-05-16;4729601;4729601;;47;COMÉRCIO VAREJISTA;SP;6249;1;05;Demais portes;N;;;0;0;0;Demais portes;Comércio
3507506;Botucatu;00004633;VLADIMIR TEIXEIRA;00004633000178;1;08;Baixada;1994-05-16;4617600;4617600;;46;COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00004676;IVANI LOPES PEREIRA TARDIVO;00004676000153;1;08;Baixada;1994-05-16;7722500;7722500;;77;ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;SP;6249;1;05;Demais portes;N;;;0;0;0;Demais portes;Serviços
3507506;Botucatu;00004717;CARLOS ALBERTO MOCO BOTUCATU;00004717000101;1;08;Baixada;1994-05-16;4723700;4723700;;47;COMÉRCIO VAREJISTA;SP;6249;1;05;Demais portes;N;;;0;0;0;Demais portes;Comércio
3507506;Botucatu;00004760;APARECIDA ANDREA SANTUCCI;00004760000177;1;08;Baixada;1994-05-16;4713004;4713004;;47;COMÉRCIO VAREJISTA;SP;6249;1;05;Demais portes;N;;;0;0;0;Demais portes;Comércio
3507506;Botucatu;00004806;SYSTEM FIVE INFORMATICA LTDA;00004806000158;1;04;Inapta;1994-05-16;4751201;4751201;;47;COMÉRCIO VAREJISTA;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00005303;MARIA ISABEL QUEIROZ BOTUCATU;00005303000105;1;04;Inapta;1994-05-17;4713004;4713004;;47;COMÉRCIO VAREJISTA;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00005304;ADILSON JOSE DE MOURA;00005304000141;1;08;Baixada;1994-05-17;4543900;4543900;;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00005573;ISABEL CRISTINA DE MORAES;00005573000108;1;08;Baixada;1994-05-18;4713002;4713002;;47;COMÉRCIO VAREJISTA;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00005705;GERALDO CEZARIO DE CARVALHO;00005705000100;1;08;Baixada;1994-05-17;4771701;4771701;;47;COMÉRCIO VAREJISTA;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00005742;HELOISA CECILIO SANTOS REPRESENTACAO COMERCIAL  LTDA;00005742000100;1;08;Baixada;1994-05-16;4530706;4530706;;45;COMÉRCIO E REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00006750;AMILTON VAZ DE ARRUDA BOTUCATU;00006750000170;1;04;Inapta;1994-05-20;4789006;4789006;4763601;47;COMÉRCIO VAREJISTA;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00007156;SONIA CRISTINA SILVA MARTINEZ BOTUCATU;00007156000102;1;04;Inapta;1994-05-19;4713004;4713004;;47;COMÉRCIO VAREJISTA;SP;6249;1;01;ME (Microempresa);N;;;0;0;0;ME (Microempresa);Comércio
3507506;Botucatu;00008249;FAUZO PEDRO;00008249000143;1;08;Baixada;1994-05-24;4729601;4729601;;47;COMÉRCIO VAREJISTA;SP;6249;1;05;Demais portes;N;;;0;0;0;Demais portes;Comércio
3507506;Botucatu;00008252;MARGARETE PINTO SILVA LIN;00008252000167;1;08;Baixada;1994-05-24;4712100;4712100;;47;COMÉRCIO VAREJISTA;SP;6249;1;05;Demais portes;N;;;0;0;0;Demais portes;Comércio
3507506;Botucatu;00008596;JOAO LUIZ PEDROSO BOTUCATU;00008596000176;1;08;Baixada;1994-05-24;5611203;5611203;;56;ALIMENTAÇÃO;SP;6249;1;05;Demais portes;N;;;0;0;0;Demais portes;Serviços
