rank;ano;fluxo;sh4;descricao;valor_usd_fob;ptax_media_ano;valor_brl_estimado
1;2025;exportacao;1201;Soja, mesmo triturada;144816804.0;5.5879;809219861.63
2;2025;exportacao;8807;Partes dos aparelhos das posições 88.01, 88.02 ou 88.06;132489062.0;5.5879;740333838.74
3;2025;exportacao;8707;Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas;64208349.0;5.5879;358788965.5
4;2025;exportacao;8702;Veículos automóveis para o transporte de dez pessoas ou mais, incluíndo o condutor;39106630.0;5.5879;218523409.19
5;2025;exportacao;4411;Painéis de fibras de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou com outros aglutinantes orgânicos;23139575.0;5.5879;129301318.37
6;2025;exportacao;2101;"Extractos, essências e concentrados de café, chá ou de mate e preparações à base destes produtos ou à base de café, chá ou de mate; chicória torrada e outros sucedâneos torrados do café e respectivos extractos, essências e concentrados";15202899.0;5.5879;84952073.83
7;2025;exportacao;0511;"Produtos de origem animal, não especificados nem compreendidos em outras posições; animais mortos dos Capítulos 1 ou 3, impróprios para alimentação humana";12677803.0;5.5879;70842124.02
8;2025;exportacao;4410;Painéis de partículas e painéis semelhantes (por exemplo, painéis denominados «  oriented strand board » e painéis denominados «  waferboard »), de madeira ou de outras matérias lenhosas, mesmo aglomeradas com resinas ou com outros aglutinantes orgânicos;3850968.0;5.5879;21518772.04
9;2025;exportacao;2106;Preparações alimentícias não especificadas nem compreendidas noutras posições;2035174.0;5.5879;11372321.29
10;2025;exportacao;1005;Milho;1945680.0;5.5879;10872238.97
