rank;ano;fluxo;sh4;descricao;valor_usd_fob;ptax_media_ano;valor_brl_estimado
1;2025;importacao;8807;Partes dos aparelhos das posições 88.01, 88.02 ou 88.06;48933727.0;5.5879;273436111.68
2;2025;importacao;7606;Chapas e tiras, de alumínio, de espessura superior a 0,2 mm;16481527.0;5.5879;92096901.95
3;2025;importacao;8415;Máquinas e aparelhos de ar condicionado, contendo um ventilador motorizado e dispositivos próprios para modificar a temperatura e a humidade, incluindo as máquinas e aparelhos em que a humidade não seja regulável separadamente;14777729.0;5.5879;82576272.13
4;2025;importacao;8308;"Fechos, armações com fecho, fivelas, fivelas-fecho, grampos, colchetes, ilhoses e artefactos semelhantes, de metais comuns, para vestuário, calçado, toldos, bolsas, artigos de viagem e para quaisquer outras confecções ou equipamentos; rebites tubulares ou";5834774.0;5.5879;32604054.77
5;2025;importacao;7604;Barras e perfis, de alumínio;5022816.0;5.5879;28066925.63
6;2025;importacao;3918;"Revestimentos de pavimentos, de plástico, mesmo auto-adesivos, em rolos ou em forma de ladrilhos ou de mosaicos; revestimentos de paredes ou de tectos, de plásticos, definidos na Nota 9 do presente capítulo";4768801.0;5.5879;26647518.65
7;2025;importacao;8474;"Máquinas e aparelhos, para seleccionar, peneirar, separar, lavar, esmagar, moer, misturar ou amassar terras, pedras, minérios ou outras substâncias minerais sólidas (incluídos os pós e pastas); máquinas para aglomerar ou moldar combustíveis minerais sólid";4623740.0;5.5879;25836934.25
8;2025;importacao;8407;Motores de pistão, alternativo ou rotativo, de ignição por faísca (motores de explosão);4287442.0;5.5879;23957739.2
9;2025;importacao;2939;Alcalóides vegetais, naturais ou sintéticos, seus sais, éteres, ésteres e outros derivados;3741176.0;5.5879;20905266.8
10;2025;importacao;7318;Parafusos, pernos ou pinos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos ou troços, anilhas ou arruelas (incluídas as de pressão) e artefactos semelhantes, de ferro fundido, ferro ou aço;3472288.0;5.5879;19402751.18
