sh4;cnae_prefix;nota
0101;01;Animais vivos — divisão agrícola/pecuária (amplo)
0102;01;Animais vivos — pecuária (amplo)
0105;01;Aves — pecuária
0201;1011;Carne e miudezas — abate
0202;1012;Carne desossada — abate
0206;1012;Miudezas comestíveis
0302;0321;Peixes congelados — pesca/aquicultura
0303;0321;Peixes congelados
0304;0321;Filés de peixe
0401;1052;Leite e creme
0402;1052;Leite concentrado
0406;1052;Queijos e laticínios
0511;0149;Produtos de origem animal — agro (aprox.)
0601;0139;Plantas vivas — floricultura/agro
0602;0139;Plantas para mudas
0603;0139;Flores e botões
0701;0119;Batatas e tubérculos
0702;0119;Tomates
0703;0119;Cebolas
0704;0119;Couve-flor e repolho
0706;0119;Cenouras e rabanetes
0707;0119;Pepinos
0708;0119;Legumes (amplo)
0709;0119;Outros legumes
0710;0119;Legumes congelados
0711;0119;Legumes conservados
0712;0119;Legumes secos
0713;0119;Leguminosas secas
0714;0119;Raízes de mandioca
0801;0113;Cocos e castanhas
0802;0113;Outras frutas secas
0803;0113;Bananas
0804;0113;Tâmaras e figos
0805;0113;Cítricos
0806;0113;Maçãs e peras
0807;0113;Melões e melancias
0808;0113;Maçãs, peras e marmelos
0809;0113;Damascos e cerejas
0810;0113;Outras frutas frescas
0811;0113;Frutas congeladas
0812;0113;Frutas secas mistas
0813;0113;Frutas secas (outras)
0814;0113;Cascas de cítricos
0901;0116;Café — cultivo (também 1096 torrefação)
0901;1096;Café torrado/moido — indústria alimentícia
0902;1096;Chá — indústria de alimentos
1001;0111;Trigo — cereais
1002;0111;Centeio
1003;0111;Cevada
1004;0111;Aveia
1005;0111;Milho — cereais
1006;0111;Arroz
1007;0111;Sorgo
1101;1096;Farinhas — moagem
1102;1096;Féculas
1103;1096;Glúten de trigo
1104;1096;Produtos de cereais
1105;1096;Malte
1106;1096;Amidos
1107;1096;Inulina
1108;1096;Amidos modificados
1109;1096;Glúten
1201;0115;Soja — cultivo (principal)
1202;0115;Amendoim — oleaginosas
1203;0115;Copra
1204;0115;Linhaça
1205;0115;Colza/mostarda
1206;0115;Sementes oleaginosas
1207;0115;Outras sementes oleaginosas
1208;1041;Farinha e pellets de soja — moagem
1209;1041;Sementes para semeadura
1210;0115;Produtos de colza
1211;0115;Plantas medicinais
1212;0115;Algas
1213;0115;Palhas e cascas
1214;0115;Forragens
1301;0139;Goma laca / resinas naturais
1302;0139;Sucos vegetais
1401;0220;Matérias para vassouras
1404;0220;Palhas para artesanato
1501;1012;Gorduras de origem animal
1502;1012;Gorduras animais derretidas
1503;1041;Estearina / óleo animal
1504;1041;Óleos e gorduras de peixe
1505;1041;Lanolina
1506;1041;Outras gorduras animais
1507;1041;Óleo de soja refinado — indústria
1508;1041;Óleos vegetais fixos
1509;1041;Óleo de oliva
1510;1041;Outros óleos vegetais
1511;1041;Óleos vegetais hidrogenados
1512;1041;Ceras vegetais
1513;1041;Óleo de coco
1514;1041;Óleo de palma
1515;1041;Óleos mistos
1516;1041;Gorduras animais processadas
1517;1041;Margarina
1518;1041;Misturas de gorduras
1519;1041;Outras preparações lipídicas
1520;1041;Glicerol
1521;1041;Ceras
1522;1041;Resíduos de graxaria
1601;1012;Salsichas e embutidos
1602;1012;Outras preparações de carne
1603;1012;Extratos de carne
1604;0321;Preparações de peixe
1605;0321;Crustáceos preparados
1701;1081;Açúcar de cana
1702;1081;Outros açúcares
1703;1081;Melaço
1704;1081;Resíduos de açúcar
1801;1082;Cacau em grão
1802;1082;Cascas de cacau
1803;1082;Pasta de cacau
1804;1082;Manteiga de cacau
1805;1082;Cacau em pó
1806;1082;Chocolate
1901;1096;Preparações de cereais/massas
1902;1096;Massas alimentícias
1903;1096;Tapioca
1904;1096;Produtos de padaria
1905;1096;Bolachas e biscoitos
2001;1095;Conservas de vegetais
2002;1095;Conservas de tomate
2003;1095;Conservas de cogumelos
2004;1095;Outras conservas
2005;1095;Outros vegetais preparados
2006;1095;Legumes/frutas conservados
2007;1095;Doces e geleias
2008;1095;Frutas preparadas
2009;1095;Sucos concentrados
2101;1095;Extratos e essências — alimentos
2102;1095;Leveduras
2103;1095;Sauces e condimentos
2104;1095;Sopas e caldos
2105;1095;Sorvetes
2106;1095;Preparações alimentícias diversas
2201;1101;Águas minerais
2202;1101;Bebidas com gás
2203;1101;Cerveja
2204;1101;Vinho
2205;1101;Vermute
2206;1101;Outras fermentadas
2207;1101;Etilílicas
2208;1101;Vodka
2209;1101;Outras bebidas alcoólicas
2301;1099;Farinhas de origem animal — rações
2302;1099;Arroz quebrado para ração
2303;1099;Resíduos de moagem
2304;1099;Polpas para ração
2305;1099;Resíduos de cervejaria
2306;1099;Bagaço e resíduos vegetais
2307;1099;Outros resíduos alimentícios
2308;1099;Materiais vegetais para ração
2309;1099;Preparações para alimentação animal
2401;1220;Fumo não manufaturado
2402;1220;Charutos
2403;1220;Outros produtos do fumo
2501;0810;Sal
2502;0810;Enxofre
2503;0810;Gesso
2504;0810;Grafite natural
2505;0810;Areias quartzosas
2506;0810;Quartzito
2507;0810;Caolim
2508;0810;Argilas
2509;0810;Carbonato de cálcio
2510;0810;Fosfatos
2511;0810;Carbonato de bário
2512;0810;Silício
2513;0810;Pumice
2514;0810;Ardósia
2515;0810;Mármore
2516;0810;Granito
2517;0810;Cascalho
2518;0810;Dolomita
2519;0810;Carbonato de magnésio
2520;0810;Gesso para construção
2521;0810;Cal virgem
2522;0810;Cimento hidráulico
2523;2394;Cimento — indústria de construção
2524;0810;Amianto
2525;0810;Mica
2526;0810;Esteatita
2528;0810;Boratos
2529;0810;Minerais diversos
2601;0710;Minérios de ferro
2602;0710;Minérios de manganês
2603;0710;Minérios de cobre
2604;0710;Minérios de níquel
2605;0710;Minérios de cobalto
2606;0710;Minérios de alumínio
2607;0710;Minérios de chumbo
2608;0710;Minérios de zinco
2609;0710;Minérios de estanho
2610;0710;Minérios de cromo
2611;0710;Minérios de tungstênio
2612;0710;Minérios de urânio
2613;0710;Minérios de molibdênio
2614;0710;Minérios de titânio
2615;0710;Minérios de nióbio
2616;0710;Minérios de prata
2617;0710;Minérios diversos
2618;0710;Escória granulada
2619;0710;Cinzas e resíduos de metalurgia
2701;1921;Antracite e carvão
2702;1921;Linhites
2703;1921;Turfa
2704;1921;Coque
2705;1921;Gás de hulha
2706;1921;Alcatrões
2707;1921;Óleos de petróleo leves
2708;1921;Óleos de petróleo pesados
2709;1921;Óleo cru de petróleo
2710;1921;Óleos de petróleo refinados
2711;1921;Gás natural liquefeito
2712;1921;Parafinas
2713;1921;Coque de petróleo
2714;1921;Betumes
2715;1921;Resíduos de petróleo
2716;1921;Energia elétrica (classificação comex)
2801;2011;Cloro e derivados
2802;2011;Enxofre sublimado
2803;2011;Carbono
2804;2011;Hidrogênio
2805;2011;Gases nobres
2806;2011;Cloreto de hidrogênio
2807;2011;Ácido sulfúrico
2808;2011;Ácido nítrico
2809;2011;Pentóxido de difósforo
2810;2011;Óxidos de boro
2811;2011;Outros ácidos inorgânicos
2812;2011;Haletos de não-metais
2813;2011;Sulfetos de não-metais
2814;2011;Amônia anidra
2815;2011;Hidróxido de sódio
