Ano;Mes;instituicao;valor_poupanca;data_ref
2026;1;Poupança Municipal;0,0;2026-01
2026;1;Poupança Vinculada;19337,21;2026-01
2026;2;Poupança Municipal;0,0;2026-02
2026;2;Poupança Vinculada;20029,55;2026-02
2026;3;Poupança Municipal;0,0;2026-03
2026;3;Poupança Vinculada;38248,25;2026-03
2026;4;Poupança Municipal;0,0;2026-04
2026;4;Poupança Vinculada;18212,63;2026-04
2026;5;Poupança Municipal;0,0;2026-05
2026;5;Poupança Vinculada;18326,04;2026-05
2026;6;Poupança Municipal;0,0;2026-06
2026;6;Poupança Vinculada;18449,63;2026-06
2026;7;Poupança Municipal;0,0;2026-07
2026;7;Poupança Vinculada;18573,89;2026-07
2026;8;Poupança Municipal;0,0;2026-08
2026;8;Poupança Vinculada;18698,9;2026-08
2026;9;Poupança Municipal;0,0;2026-09
2026;9;Poupança Vinculada;18825,48;2026-09
2026;10;Poupança Municipal;0,0;2026-10
2026;10;Poupança Vinculada;18952,4;2026-10
2026;11;Poupança Municipal;0,0;2026-11
2026;11;Poupança Vinculada;19079,93;2026-11
2026;12;Poupança Municipal;0,0;2026-12
2026;12;Poupança Vinculada;19208,35;2026-12
