Ano;Mês;Código Contábil;Natureza;Saldo em Reais
2026;1;111110100;D;0,0
2026;1;111110200;D;1070009,02
2026;1;111110603;D;5772,69
2026;1;111110604;D;0,0
2026;1;111111900;D;39618335,46
2026;1;111115000;C;956,39
2026;1;111115000;D;210799248,29999998
2026;1;111310100;D;0,0
2026;1;111310200;D;19337,21
2026;1;111320102;D;690,64
2026;2;111110100;D;0,0
2026;2;111110200;D;170779,29
2026;2;111110603;D;3976622,4299999997
2026;2;111110604;D;112506,3
2026;2;111111900;D;42138456,29
2026;2;111115000;C;956,39
2026;2;111115000;D;212297229,85
2026;2;111310100;D;0,0
2026;2;111310200;D;20029,55
2026;2;111320102;D;11734,45
2026;3;111110100;D;0,0
2026;3;111110200;D;127567,26000000001
2026;3;111110603;D;1839628,35
2026;3;111110604;D;0,0
2026;3;111111900;D;49929844,099999994
2026;3;111115000;C;956,39
2026;3;111115000;D;216896621,75
2026;3;111310100;D;0,0
2026;3;111310200;D;38248,25
2026;3;111320102;D;0,0
2026;4;111110100;D;0,0
2026;4;111110200;D;77550,40999999999
2026;4;111110603;D;13949,0
2026;4;111110604;D;0,0
2026;4;111111900;D;31662262,290000003
2026;4;111115000;C;956,38
2026;4;111115000;D;107437742,65
2026;4;111310100;D;0,0
2026;4;111310200;D;18212,63
2026;4;111320102;D;0,0
2026;5;111110100;D;0,0
2026;5;111110200;D;60631,26
2026;5;111110603;D;799,37
2026;5;111110604;D;19700,29
2026;5;111111900;D;33377029,01
2026;5;111115000;C;956,38
2026;5;111115000;D;112303961,16
2026;5;111310100;D;0,0
2026;5;111310200;D;18326,04
2026;5;111320102;D;0,0
2026;6;111110100;D;0,0
2026;6;111110200;D;1704198,73
2026;6;111110603;D;8121,63
2026;6;111110604;D;0,0
2026;6;111111900;D;30790063,33
2026;6;111115000;C;956,37
2026;6;111115000;D;111372573,48
2026;6;111310100;D;0,0
2026;6;111310200;D;18449,63
2026;6;111320102;D;0,0
2026;7;111110100;D;0,0
2026;7;111110200;D;78092,98000000001
2026;7;111110603;D;8121,63
2026;7;111110604;D;0,0
2026;7;111111900;D;33107984,6
2026;7;111115000;D;110142552,87
2026;7;111310100;D;0,0
2026;7;111310200;D;18573,89
2026;7;111320102;D;0,0
2026;8;111110100;D;0,0
2026;8;111110200;D;1681492,77
2026;8;111110603;D;0,0
2026;8;111110604;D;0,0
2026;8;111111900;D;31861091,34
2026;8;111115000;D;104734433,32
2026;8;111310100;D;0,0
2026;8;111310200;D;18698,9
2026;8;111320102;D;0,0
2026;9;111110100;D;0,0
2026;9;111110200;D;79573,92000000001
2026;9;111110603;D;0,0
2026;9;111110604;D;0,0
2026;9;111111900;D;31951255,45
2026;9;111115000;D;105095894,11
2026;9;111310100;D;0,0
2026;9;111310200;D;18825,48
2026;9;111320102;D;0,0
2026;10;111110100;D;0,0
2026;10;111110200;D;66335,84999999999
2026;10;111110603;D;3882,97
2026;10;111110604;D;0,0
2026;10;111111900;D;30614700,25
2026;10;111115000;D;104697878,25
2026;10;111310100;D;0,0
2026;10;111310200;D;18952,4
2026;10;111320102;D;0,0
2026;11;111110100;D;0,0
2026;11;111110200;D;57817,75
2026;11;111110603;D;4207449,48
2026;11;111110604;D;51113,88
2026;11;111111900;D;26838038,549999997
2026;11;111115000;D;103962254,38
2026;11;111310100;D;0,0
2026;11;111310200;D;19079,93
2026;11;111320102;D;0,0
2026;12;111110100;D;0,0
2026;12;111110200;D;43468,17
2026;12;111110603;D;0,0
2026;12;111110604;D;0,0
2026;12;111111900;D;14078965,01
2026;12;111115000;D;80248894,2
2026;12;111310100;D;0,0
2026;12;111310200;D;19208,35
2026;12;111320102;D;0,0
