ano_referencia;mes_referencia;secao;subclasse;saldomovimentacao;admissao;demissao;estoque_anual_2026;subclasse_descricao;classe_cnae;classe_descricao;grupo_cnae;grupo_descricao;divisao_cnae;divisao_descricao;secao_cnae;secao_descricao
2020;2;A;0155505;1;1;0;23;PRODUÇÃO DE OVOS;01555;CRIAÇÃO DE AVES;015;PECUÁRIA;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA
2020;6;F;4120400;-1;0;1;-185;CONSTRUÇÃO DE EDIFÍCIOS;41204;CONSTRUÇÃO DE EDIFÍCIOS;412;CONSTRUÇÃO DE EDIFÍCIOS;41;CONSTRUÇÃO DE EDIFÍCIOS;F;CONSTRUÇÃO
2020;8;F;4221902;-1;0;1;-10;CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA;42219;OBRAS PARA GERAÇÃO E DISTRIBUIÇÃO DE ENERGIA ELÉTRICA E PARA TELECOMUNICAÇÕES;422;OBRAS DE INFRA-ESTRUTURA PARA ENERGIA ELÉTRICA, TELECOMUNICAÇÕES, ÁGUA, ESGOTO E TRANSPORTE POR DUTOS;42;OBRAS DE INFRA-ESTRUTURA;F;CONSTRUÇÃO
2020;8;G;4789002;1;1;0;1;COMÉRCIO VAREJISTA DE PLANTAS E FLORES NATURAIS;47890;COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE;478;COMÉRCIO VAREJISTA DE PRODUTOS NOVOS NÃO ESPECIFICADOS ANTERIORMENTE E DE PRODUTOS USADOS;47;COMÉRCIO VAREJISTA;G;"COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS"
2022;1;A;0131800;1;1;0;-110;CULTIVO DE LARANJA;01318;CULTIVO DE LARANJA;013;PRODUÇÃO DE LAVOURAS PERMANENTES;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA
2022;1;S;9420100;1;1;0;10;ATIVIDADES DE ORGANIZAÇÕES SINDICAIS;94201;ATIVIDADES DE ORGANIZAÇÕES SINDICAIS;942;ATIVIDADES DE ORGANIZAÇÕES SINDICAIS;94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS;S;OUTRAS ATIVIDADES DE SERVIÇOS
2022;3;C;1091102;-1;0;1;3;FABRICAÇÃO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINÂNCIA  DE PRODUÇÃO PRÓPRIA;10911;FABRICAÇÃO DE PRODUTOS DE PANIFICAÇÃO;109;FABRICAÇÃO DE OUTROS PRODUTOS ALIMENTÍCIOS;10;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;C;INDÚSTRIAS DE TRANSFORMAÇÃO
2022;5;A;0131800;-1;0;1;-110;CULTIVO DE LARANJA;01318;CULTIVO DE LARANJA;013;PRODUÇÃO DE LAVOURAS PERMANENTES;01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS;A;AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA
2022;5;N;7721700;-1;0;1;-3;ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS;77217;ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS;772;ALUGUEL DE OBJETOS PESSOAIS E DOMÉSTICOS;77;ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS;N;ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES
2022;5;S;9609206;2;2;0;2;SERVIÇOS DE TATUAGEM E COLOCAÇÃO DE PIERCING;96092;ATIVIDADES DE SERVIÇOS PESSOAIS NÃO ESPECIFICADAS ANTERIORMENTE;960;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS;S;OUTRAS ATIVIDADES DE SERVIÇOS
